epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1769,0.99809,2.19585,1.27383,0.43721,0.51907,0.42817,0.23656,1.51928,2.6704,1.85707,0.000547614,0.000547614,0.000547614
2,48.782,1.067,1.62106,1.30734,0.43562,0.5349,0.44894,0.32658,1.74804,3.88647,2.09909,0.00108872,0.00108872,0.00108872
3,70.0858,1.14171,1.66693,1.36619,0.32976,0.53374,0.32589,0.21895,1.61952,6.36446,1.97093,0.00161515,0.00161515,0.00161515
4,90.8976,1.09429,1.59435,1.33729,0.32884,0.58332,0.31665,0.2068,1.5083,6.11571,1.79399,0.00160099,0.00160099,0.00160099
5,111.632,1.05171,1.48454,1.29517,0.54335,0.64014,0.57057,0.4534,1.25372,2.29802,1.46453,0.00157898,0.00157898,0.00157898
6,132.175,1.02513,1.48548,1.29659,0.39676,0.43632,0.33591,0.23862,1.42519,3.84217,1.68705,0.00155698,0.00155698,0.00155698
7,152.622,0.99044,1.42852,1.25755,0.53105,0.55735,0.51837,0.40478,1.27077,2.39694,1.5154,0.00153497,0.00153497,0.00153497
8,173.169,0.95749,1.36153,1.23905,0.53218,0.59038,0.53814,0.40569,1.16402,2.13908,1.43983,0.00151297,0.00151297,0.00151297
9,193.491,0.90314,1.31984,1.21328,0.58203,0.5825,0.59145,0.45579,1.25989,1.72936,1.45462,0.00149096,0.00149096,0.00149096
10,213.967,0.8876,1.26385,1.19852,0.57552,0.56047,0.52094,0.36723,1.3908,2.15542,1.5781,0.00146896,0.00146896,0.00146896
11,234.34,0.85568,1.20633,1.17052,0.52896,0.64913,0.54925,0.45346,1.14606,1.99939,1.36822,0.00144696,0.00144696,0.00144696
12,254.932,0.8463,1.18392,1.16571,0.60159,0.63639,0.57925,0.47299,1.19346,1.57114,1.39423,0.00142495,0.00142495,0.00142495
13,275.482,0.84071,1.19391,1.16509,0.61619,0.64014,0.64882,0.54124,1.06688,1.55923,1.28493,0.00140295,0.00140295,0.00140295
14,296.342,0.81412,1.10261,1.13911,0.62556,0.63854,0.63723,0.52809,1.09946,1.65239,1.3143,0.00138094,0.00138094,0.00138094
15,317.034,0.81837,1.11139,1.14835,0.58502,0.64597,0.62542,0.51101,1.05223,1.71173,1.34599,0.00135894,0.00135894,0.00135894
16,337.654,0.77685,1.05768,1.10794,0.68942,0.57462,0.63358,0.53309,1.00788,1.61586,1.24625,0.00133693,0.00133693,0.00133693
17,358.448,0.74741,1.00703,1.10613,0.69037,0.57492,0.62504,0.51439,1.07844,1.6625,1.31372,0.00131493,0.00131493,0.00131493
18,379.035,0.76056,1.02699,1.10792,0.68491,0.639,0.64087,0.51317,1.03074,1.47425,1.27474,0.00129293,0.00129293,0.00129293
19,399.516,0.75019,1.00857,1.10419,0.72662,0.65192,0.68284,0.57086,1.03075,1.46087,1.25311,0.00127092,0.00127092,0.00127092
20,420.364,0.72327,0.96926,1.08185,0.62479,0.63943,0.6225,0.5195,1.02336,1.56062,1.28087,0.00124892,0.00124892,0.00124892
21,440.8,0.71048,0.93177,1.07737,0.66467,0.61944,0.64352,0.55641,0.97772,1.47191,1.23627,0.00122691,0.00122691,0.00122691
22,461.463,0.69808,0.89363,1.05936,0.63929,0.64534,0.61564,0.5269,1.01884,1.53736,1.27266,0.00120491,0.00120491,0.00120491
23,482.113,0.70438,0.91605,1.06796,0.62969,0.64798,0.59562,0.51466,1.01246,1.57833,1.26823,0.0011829,0.0011829,0.0011829
24,502.828,0.68071,0.87331,1.05468,0.63508,0.66382,0.64556,0.55052,0.93007,1.43342,1.22718,0.0011609,0.0011609,0.0011609
25,525.061,0.65581,0.85212,1.03544,0.67229,0.65259,0.65947,0.55331,0.9574,1.38918,1.2526,0.00113889,0.00113889,0.00113889
26,547.664,0.68361,0.89553,1.0588,0.71869,0.61565,0.65074,0.57392,0.91904,1.42448,1.18225,0.00111689,0.00111689,0.00111689
27,570.129,0.6543,0.81653,1.03628,0.75243,0.63691,0.68551,0.58142,1.04109,1.39432,1.29246,0.00109489,0.00109489,0.00109489
28,593.447,0.65329,0.82833,1.0331,0.665,0.61982,0.64415,0.54417,1.02143,1.40163,1.28187,0.00107288,0.00107288,0.00107288
29,616.543,0.63858,0.7887,1.02929,0.65473,0.63768,0.63124,0.53219,0.97586,1.53031,1.25528,0.00105088,0.00105088,0.00105088
30,639.235,0.64743,0.79753,1.03955,0.68443,0.61877,0.6285,0.5367,0.97709,1.49628,1.25839,0.00102887,0.00102887,0.00102887
31,661.84,0.62636,0.74715,1.02061,0.70472,0.56701,0.60941,0.52825,0.92619,1.42674,1.19455,0.00100687,0.00100687,0.00100687
32,684.837,0.62284,0.72976,1.01706,0.70639,0.65425,0.66604,0.5709,0.85984,1.40787,1.16728,0.000984864,0.000984864,0.000984864
33,707.677,0.60334,0.7207,1.00799,0.73088,0.56997,0.6407,0.54634,0.97891,1.50329,1.26777,0.000962859,0.000962859,0.000962859
34,730.16,0.59048,0.69309,0.99817,0.7369,0.59978,0.66644,0.55796,0.96608,1.47239,1.21276,0.000940855,0.000940855,0.000940855
35,752.146,0.58393,0.69133,0.99862,0.74776,0.58187,0.62515,0.54141,0.92693,1.59239,1.20749,0.00091885,0.00091885,0.00091885
36,774.26,0.57654,0.68089,0.98786,0.6874,0.64255,0.6255,0.5372,0.95429,1.71338,1.23893,0.000896846,0.000896846,0.000896846
37,796.623,0.56662,0.66349,0.98525,0.6959,0.65359,0.66933,0.56917,0.92974,1.49092,1.2247,0.000874842,0.000874842,0.000874842
38,818.687,0.58709,0.67851,0.98936,0.7279,0.62773,0.65444,0.57041,0.82622,1.45763,1.15439,0.000852837,0.000852837,0.000852837
39,840.652,0.58682,0.68813,0.99786,0.68496,0.60544,0.62107,0.54494,0.91708,1.57654,1.20255,0.000830833,0.000830833,0.000830833
40,862.946,0.56335,0.63752,0.98433,0.62789,0.63635,0.6069,0.5224,0.94877,1.51426,1.22202,0.000808828,0.000808828,0.000808828
41,884.874,0.55206,0.64073,0.97774,0.67887,0.61253,0.61617,0.53591,0.96001,1.78435,1.27404,0.000786824,0.000786824,0.000786824
42,907.113,0.54813,0.61469,0.97514,0.64652,0.65292,0.63072,0.53863,0.92846,1.64696,1.21118,0.00076482,0.00076482,0.00076482
43,928.947,0.55264,0.62949,0.98296,0.61739,0.67927,0.63936,0.55297,0.87893,1.60667,1.19422,0.000742815,0.000742815,0.000742815
44,950.847,0.53076,0.59446,0.97004,0.67532,0.65568,0.64744,0.56048,0.89967,1.49952,1.20419,0.000720811,0.000720811,0.000720811
45,972.804,0.53408,0.59588,0.97139,0.75037,0.61944,0.64605,0.55159,0.94162,1.57922,1.22928,0.000698806,0.000698806,0.000698806
46,994.828,0.52178,0.58047,0.96176,0.78032,0.58841,0.6619,0.56721,0.9463,1.55821,1.21163,0.000676802,0.000676802,0.000676802
47,1016.82,0.52948,0.72636,0.96393,0.74629,0.54857,0.61795,0.53871,0.96732,1.77532,1.24367,0.000654798,0.000654798,0.000654798
