epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4472,1.04097,2.46099,2.09801,1.30409,0.39476,0.47054,0.3758,0.22141,0.37587,0.45293,0.35061,0.20094,1.49191,5.3265,2.28165,1.79178,0.000547614,0.000547614,0.000547614
2,71.8352,1.12062,2.18361,1.63093,1.32936,0.02413,0.07692,0.00704,0.00204,0.02004,0.06588,0.00468,0.0015,2.86298,13.7755,87.7224,3.36469,0.00108872,0.00108872,0.00108872
3,104.703,1.13805,2.21651,1.63838,1.3507,0.50262,0.58192,0.52319,0.38013,0.4974,0.57225,0.50731,0.36185,1.45283,3.45431,7.96758,1.72072,0.00161515,0.00161515,0.00161515
4,138.98,1.09882,2.22566,1.59496,1.31956,0.49448,0.30552,0.34867,0.1819,0.47271,0.29142,0.28132,0.13811,1.71431,3.84473,3.90866,1.98374,0.00160099,0.00160099,0.00160099
5,171.349,1.06018,2.10538,1.49519,1.29058,0.51655,0.62431,0.54703,0.27915,0.54046,0.63955,0.56981,0.34722,1.51951,2.88229,3.26788,1.68998,0.00157898,0.00157898,0.00157898
6,204.538,1.02337,2.06384,1.45508,1.28712,0.52607,0.5704,0.50372,0.33575,0.52244,0.56009,0.48947,0.34378,1.51381,2.80338,2.20193,1.71629,0.00155698,0.00155698,0.00155698
7,237.004,0.97921,2.01496,1.39211,1.24226,0.5192,0.65604,0.54721,0.42554,0.51446,0.64689,0.53753,0.38603,1.41133,2.9814,2.19527,1.53024,0.00153497,0.00153497,0.00153497
8,269.654,0.94042,1.9178,1.31738,1.21612,0.48324,0.63152,0.50209,0.38481,0.46188,0.64497,0.4793,0.37924,1.35479,3.36105,2.47689,1.57986,0.00151297,0.00151297,0.00151297
9,302.282,0.94369,1.88605,1.36583,1.2287,0.64416,0.62844,0.62938,0.43149,0.6462,0.61968,0.6136,0.41915,1.27434,2.80691,2.15404,1.46907,0.00149096,0.00149096,0.00149096
10,336.69,0.91244,1.91193,1.27507,1.19695,0.5489,0.69751,0.61475,0.42541,0.54562,0.69245,0.60083,0.42449,1.18699,2.82248,2.0995,1.40969,0.00146896,0.00146896,0.00146896
11,366.892,0.85581,1.81962,1.23042,1.16426,0.60063,0.70157,0.58529,0.45122,0.59523,0.69507,0.58094,0.43352,1.13069,2.56449,1.77169,1.36776,0.00144696,0.00144696,0.00144696
12,399.511,0.84626,1.74511,1.20401,1.15782,0.74293,0.62865,0.68173,0.53973,0.73729,0.62669,0.67531,0.53309,1.1195,2.58427,1.42373,1.37003,0.00142495,0.00142495,0.00142495
13,431.251,0.84781,1.74395,1.19302,1.16198,0.66315,0.66878,0.65513,0.53193,0.66036,0.66637,0.64703,0.52225,1.16857,2.57412,1.51792,1.35362,0.00140295,0.00140295,0.00140295
